+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90  |  P95  |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/api-components-dDIZztSJ.js                   | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 2007.000   | 40140.000   | 301.805    |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/town.svg                                     | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 128735.000 | 1931025.000 | 41085.638  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-CNt_mqIX.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 26045.000  | 26045.000  | 26045.000   | 26045.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/rating-star-gH9aOYPH.js                      | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 519.000    | 519.000    | 519.000     | 519.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/post-message-C3RbgkUr.js                     | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 367.000    | 367.000    | 367.000     | 367.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/manifest-866aa79a.js                         | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 9192.000   | 9192.000   | 9192.000    | 9192.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-qjNoFN43.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 2937.000   | 2937.000   | 2937.000    | 2937.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-BkJsE9q1.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 1496.000   | 1496.000   | 1496.000    | 1496.000   |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /assets/get-cookie-value-B3QhECDc.js                 | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 110.000    | 2200.000    | 16.541     |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /assets/frame-CJ9SHS1U.js                            | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 344.000    | 5160.000    | 109.787    |
| 133   | 0   | 20   | 113 | 0   | 0   | GET    | /favicon.ico                                         | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 16958.000  | 339160.000  | 2550.075   |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /images/house1.svg                                   | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 2903.000   | 43545.000   | 926.489    |
| 47    | 0   | 15   | 32  | 0   | 0   | GET    | /assets/storage-Coaj7Roq.js                          | 0.000 | 0.000  | 0.000   | 0.000 | 0.000 | 0.000 | 0.000  | 0.000  | 0.000      | 711.000    | 10665.000   | 226.915    |
